scenario_name,model_name,friction_tier,candidate_row_count,selected_row_count,excluded_row_count,selected_share,mean_entry_price,mean_predicted_probability,mean_fee_cost,mean_spread_cost,mean_slippage_cost,mean_capital_lockup_cost,mean_gross_edge,median_gross_edge,mean_net_edge,median_net_edge,selected_mean_net_edge,selected_mean_simulated_realized_net_per_contract,fee_rate,capital_annual_rate,min_net_edge,scenario_artifact_dir,candidate_row_count_total,analysis_label,non_confirmatory
base,beta,fee_only,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.007503265941552378,0.0,0.0,6.74379547083232e-05,-0.00786730233331499,-0.006545663022260451,-0.015438006229575692,-0.012906477894249146,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,beta,fee_spread,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.007503265941552378,0.005,0.0,6.834069583765526e-05,-0.00786730233331499,-0.006545663022260451,-0.02043890897070503,-0.01791292713879075,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,beta,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.007503265941552378,0.005,0.005,6.924343696698731e-05,-0.00786730233331499,-0.006545663022260451,-0.025439811711834365,-0.022916565981494386,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,binned_reliability,fee_only,492612,34605,0,0.07024798421475725,0.38208874327056586,0.3734209313756072,0.007503265941552378,0.0,0.0,6.74379547083232e-05,-0.008667811894958653,-0.007705942586060312,-0.01623851579121936,-0.014551100157387031,0.036809119732368605,-0.005229285545212945,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,binned_reliability,fee_spread,492612,27355,0,0.05553051894797528,0.38208874327056586,0.3734209313756072,0.007503265941552378,0.005,0.0,6.834069583765526e-05,-0.008667811894958653,-0.007705942586060312,-0.021239418532348696,-0.019551128676666085,0.03556237688939407,-0.008905479706559177,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,binned_reliability,fee_spread_slippage,492612,20876,0,0.042378179987495226,0.38208874327056586,0.3734209313756072,0.007503265941552378,0.005,0.005,6.924343696698731e-05,-0.008667811894958653,-0.007705942586060312,-0.02624032127347803,-0.02455115719594514,0.034685523618740007,-0.01060985749456161,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,hierarchical_eb,fee_only,492612,178035,0,0.3614101970719349,0.38208874327056586,0.4125950071492751,0.007503265941552378,0.0,0.0,6.74379547083232e-05,0.030506263878709198,0.012765448787801684,0.02293555998244849,0.00721411748804977,0.06318028355549457,-0.02536770195063809,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,hierarchical_eb,fee_spread,492612,159848,0,0.3244906742020089,0.38208874327056586,0.4125950071492751,0.007503265941552378,0.005,0.0,6.834069583765526e-05,0.030506263878709198,0.012765448787801684,0.017934657241319152,0.0022139463723755727,0.0628043469725293,-0.031434685870477125,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,hierarchical_eb,fee_spread_slippage,492612,142160,0,0.2885841189414793,0.38208874327056586,0.4125950071492751,0.007503265941552378,0.005,0.005,6.924343696698731e-05,0.030506263878709198,0.012765448787801684,0.012933754500189819,-0.0027862247432986244,0.06281195979883644,-0.03780363655667943,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,isotonic,fee_only,492612,3283,0,0.006664474271840718,0.38208874327056586,0.36935505070884944,0.007503265941552378,0.0,0.0,6.74379547083232e-05,-0.012733692561716425,-0.01046020573903627,-0.020304396457977134,-0.01604866181311182,0.029557860862137474,-0.009479865106786204,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,isotonic,fee_spread,492612,2115,0,0.004293439867481913,0.38208874327056586,0.36935505070884944,0.007503265941552378,0.005,0.0,6.834069583765526e-05,-0.012733692561716425,-0.01046020573903627,-0.025305299199106467,-0.02104866894293156,0.02871999914275682,-0.025801988930255575,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,isotonic,fee_spread_slippage,492612,1137,0,0.002308104552873255,0.38208874327056586,0.36935505070884944,0.007503265941552378,0.005,0.005,6.924343696698731e-05,-0.012733692561716425,-0.01046020573903627,-0.0303062019402358,-0.02604867607275141,0.029127640393708402,-0.026044751655994573,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,platt,fee_only,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.007503265941552378,0.0,0.0,6.74379547083232e-05,-0.007903809596430535,-0.006542679876028754,-0.015474513492691237,-0.012783037189326558,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,platt,fee_spread,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.007503265941552378,0.005,0.0,6.834069583765526e-05,-0.007903809596430535,-0.006542679876028754,-0.020475416233820577,-0.01778304431914631,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,platt,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.007503265941552378,0.005,0.005,6.924343696698731e-05,-0.007903809596430535,-0.006542679876028754,-0.025476318974949907,-0.022783051448966064,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,raw,fee_only,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.007503265941552378,0.0,0.0,6.74379547083232e-05,0.0,0.0,-0.007570703896260707,-0.005746105133470222,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,raw,fee_spread,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.007503265941552378,0.005,0.0,6.834069583765526e-05,0.0,0.0,-0.01257160663739004,-0.010746789596167011,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
base,raw,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.007503265941552378,0.005,0.005,6.924343696698731e-05,0.0,0.0,-0.017572509378519372,-0.0157474740588638,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/base,8867016,robustness_non_confirmatory,True
higher_fee,beta,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.010718951345074825,0.005,0.005,6.98647168443247e-05,-0.00786730233331499,-0.006545663022260451,-0.028656118395234145,-0.026089761761329367,,,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
higher_fee,binned_reliability,fee_spread_slippage,492612,17734,0,0.03599993504015331,0.38208874327056586,0.3734209313756072,0.010718951345074825,0.005,0.005,6.98647168443247e-05,-0.008667811894958653,-0.007705942586060312,-0.02945662795687781,-0.02778529479506897,0.033420353218398556,-0.01167443117392082,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
higher_fee,hierarchical_eb,fee_spread_slippage,492612,124426,0,0.252584183901326,0.38208874327056586,0.4125950071492751,0.010718951345074825,0.005,0.005,6.98647168443247e-05,0.030506263878709198,0.012765448787801684,0.009717447816790034,-0.004010522569557529,0.0628687798796508,-0.04484835505531335,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
higher_fee,isotonic,fee_spread_slippage,492612,671,0,0.0013621267853807864,0.38208874327056586,0.36935505070884944,0.010718951345074825,0.005,0.005,6.98647168443247e-05,-0.012733692561716425,-0.01046020573903627,-0.03352250862363558,-0.02769609381585425,0.026259594864788835,-0.034939091755007035,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
higher_fee,platt,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.010718951345074825,0.005,0.005,6.98647168443247e-05,-0.007903809596430535,-0.006542679876028754,-0.028692625658349694,-0.025039651302820834,,,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
higher_fee,raw,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.010718951345074825,0.005,0.005,6.98647168443247e-05,0.0,0.0,-0.02078881606191916,-0.018204810403832997,,,0.1,0.05,0.02,data/artifacts/robustness/friction_scenarios/higher_fee,2955672,robustness_non_confirmatory,True
wider_spread_slippage,beta,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.007503265941552378,0.01,0.01,7.104891922565142e-05,-0.00786730233331499,-0.006545663022260451,-0.03544161719409303,-0.03292074966711955,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
wider_spread_slippage,binned_reliability,fee_spread_slippage,492612,11863,0,0.024081833166873727,0.38208874327056586,0.3734209313756072,0.007503265941552378,0.01,0.01,7.104891922565142e-05,-0.008667811894958653,-0.007705942586060312,-0.036242126755736695,-0.03457045125767544,0.03197338368191834,-0.013199947084857071,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
wider_spread_slippage,hierarchical_eb,fee_spread_slippage,492612,110450,0,0.22421297085738878,0.38208874327056586,0.4125950071492751,0.007503265941552378,0.01,0.01,7.104891922565142e-05,0.030506263878709198,0.012765448787801684,0.0029319490179311528,-0.012786566974647019,0.06378455484146398,-0.0503658144887635,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
wider_spread_slippage,isotonic,fee_spread_slippage,492612,340,0,0.0006901983711318442,0.38208874327056586,0.36935505070884944,0.007503265941552378,0.01,0.01,7.104891922565142e-05,-0.012733692561716425,-0.01046020573903627,-0.04030800742249446,-0.03604869033239089,0.026520785551590664,-0.03157537954159091,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
wider_spread_slippage,platt,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.007503265941552378,0.01,0.01,7.104891922565142e-05,-0.007903809596430535,-0.006542679876028754,-0.035478124457208576,-0.03278306570860559,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
wider_spread_slippage,raw,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.007503265941552378,0.01,0.01,7.104891922565142e-05,0.0,0.0,-0.02757431486077804,-0.02574884298425735,,,0.07,0.05,0.02,data/artifacts/robustness/friction_scenarios/wider_spread_slippage,2955672,robustness_non_confirmatory,True
higher_lockup,beta,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.3742214409372509,0.007503265941552378,0.005,0.005,0.00013848687393397461,-0.00786730233331499,-0.006545663022260451,-0.02550905514880135,-0.023055274912083243,,,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
higher_lockup,binned_reliability,fee_spread_slippage,492612,20719,0,0.04205947073964905,0.38208874327056586,0.3734209313756072,0.007503265941552378,0.005,0.005,0.00013848687393397461,-0.008667811894958653,-0.007705942586060312,-0.026309564710445016,-0.02466257506088987,0.034620298371212214,-0.010686112696480704,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
higher_lockup,hierarchical_eb,fee_spread_slippage,492612,141857,0,0.2879690303930883,0.38208874327056586,0.4125950071492751,0.007503265941552378,0.005,0.005,0.00013848687393397461,0.030506263878709198,0.012765448787801684,0.01286451106322283,-0.002798906836767815,0.06278317873478421,-0.03795177599411773,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
higher_lockup,isotonic,fee_spread_slippage,492612,1129,0,0.002291864591199565,0.38208874327056586,0.36935505070884944,0.007503265941552378,0.005,0.005,0.00013848687393397461,-0.012733692561716425,-0.01046020573903627,-0.03037544537720279,-0.026100097763263386,0.02900175843682645,-0.02640627415079272,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
higher_lockup,platt,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.37418493367413536,0.007503265941552378,0.005,0.005,0.00013848687393397461,-0.007903809596430535,-0.006542679876028754,-0.025545562411916897,-0.02279740150600463,,,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
higher_lockup,raw,fee_spread_slippage,492612,0,0,0.0,0.38208874327056586,0.38208874327056586,0.007503265941552378,0.005,0.005,0.00013848687393397461,0.0,0.0,-0.017641752815486363,-0.01581984435318276,,,0.07,0.1,0.02,data/artifacts/robustness/friction_scenarios/higher_lockup,2955672,robustness_non_confirmatory,True
