variant_name,fold_id,model_name,metric_scope,grouping_name,group_key,row_count,brier_score,log_loss,expected_calibration_error,calibration_intercept,calibration_slope,calibration_status,fold_count,variant_status,analysis_label,non_confirmatory
last_trade_only,,beta,pooled_equal_contract,overall,overall,1190716,0.0690018389732273,0.23162838904517438,0.007088791811574123,-0.023415148597825192,0.9409814138940387,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,overall,overall,1190716,0.06941770220082219,0.23773339419482803,0.007708914246448728,-0.011758495926889339,0.9298193995430665,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,overall,overall,1190716,0.07701435008048087,0.25429846467334266,0.053885167004653935,-0.7568044031999532,0.923518002696187,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,overall,overall,1190716,0.06907950091257561,0.23906228872269156,0.008728740012635999,0.028936073927684616,0.9294137015843329,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,overall,overall,1190716,0.06896227165565387,0.23143170240708533,0.00620892892242536,-0.024711810867863296,0.9432029696374155,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,overall,overall,1190716,0.06947119649017536,0.23386444122946118,0.019755155721431477,-0.09655764952534997,1.1401899389689234,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,14d,9830,0.10454896737602674,0.3305495346503529,0.01799416131700878,0.006875933302297627,0.9114292193792989,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,15m,318960,0.06614791821830575,0.2242186659395677,0.00678485813904892,-0.01917848969787936,0.967192153917259,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,1d,89927,0.11200081005742978,0.3550801811602801,0.02120141390997001,-0.043537114182654595,0.827769007140703,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,1h,213343,0.06511282613246402,0.22252089941962305,0.009949289704825778,-0.058645910896253345,0.9051357939402852,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,30d,6849,0.11089785382170272,0.35355300330165434,0.01810381564871041,0.015292837310181025,0.886633574152874,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,3d,35649,0.10631394815158154,0.3377666404408108,0.02065172256545578,-0.0016520557748011038,0.8463645438943562,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,6h,178491,0.09333833385057368,0.29993677491934684,0.017194904868201268,0.001977831064562454,0.8628898770785863,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,7d,14899,0.10507124383575506,0.3303400410312851,0.014967531577138031,-0.05091766725816473,0.9092869347455493,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,pooled_equal_contract,horizon,close,322768,0.04119689836442969,0.15092168657717472,0.010005169715188911,-0.08616776295793255,1.043377909380268,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,14d,9830,0.1052581412784268,0.33767763569868847,0.021043834197598636,3.029660952485828e-05,0.8704782735954443,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,15m,318960,0.0665260691850062,0.2301749427767221,0.007538200988356573,-0.013079069345354443,0.9476218224509787,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,1d,89927,0.1128085810127273,0.3625449369998132,0.024315663374005914,-0.04303371940439915,0.8015709439170196,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,1h,213343,0.06555976997837175,0.22956386147082306,0.010684480760247627,-0.042752052323367075,0.8992758063095545,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,30d,6849,0.11114042855715853,0.35510063025847544,0.019265683309012818,0.015600644197987248,0.8629971470398345,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,3d,35649,0.1069715573732761,0.3444706384441235,0.023339217480740228,-0.003405110159411401,0.8281378791982675,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,6h,178491,0.09395361859762673,0.3077135751482708,0.018982853086511656,0.007473327183559084,0.8493621493819086,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,7d,14899,0.10592493742920085,0.3361253081072147,0.018229939793743353,-0.058224536568892135,0.8771612364320694,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,pooled_equal_contract,horizon,close,322768,0.041357848491761925,0.15526449689277322,0.009965113254511165,-0.06375588849051955,1.0444350640031903,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,14d,9830,0.11178081312590869,0.3529654834318485,0.05643801885916456,-0.5416814315359387,0.8967222132949556,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,15m,318960,0.07330924747096103,0.24462560414757048,0.05070382670783121,-0.7294733647817312,0.9473248601425927,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,1d,89927,0.12138843785832582,0.3781037284077996,0.06177257411051553,-0.6007435514668007,0.814547863120034,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,1h,213343,0.07425167771657355,0.24875065701999963,0.05779977546175298,-0.8744549834363612,0.8861664871129543,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,30d,6849,0.11630537619175438,0.3692632963761684,0.04322235235332019,-0.39247212607540344,0.8707596192789562,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,3d,35649,0.11921275861523913,0.37118830485007565,0.07908374952068076,-0.7463207055779347,0.8462164442078003,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,6h,178491,0.10341594952166575,0.3268926491928181,0.06604842617247324,-0.741444024257425,0.8435022665395813,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,7d,14899,0.11417195638080704,0.3574617603558042,0.06833578199641627,-0.6489126429364338,0.8989136795682409,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,pooled_equal_contract,horizon,close,322768,0.04727007260937461,0.16976923686585668,0.04223077530285412,-0.8508464508900492,1.019289487898516,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,14d,9830,0.1047519797145624,0.3341490152449072,0.017744887833571404,0.04447760014631716,0.9058608990471174,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,15m,318960,0.06620555605292705,0.23082682283655737,0.008516600151040882,0.03634229786092793,0.9606796558845783,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,1d,89927,0.11219380483882624,0.36398215560706865,0.023161578593902537,-0.036505787502068385,0.7916166382866621,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,1h,213343,0.06516856574366751,0.23070934521838518,0.010261855956080444,-0.007661699076060058,0.8875394221783107,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,30d,6849,0.11095566857414371,0.3551078665386334,0.017110729791287478,0.048328404596161306,0.8856994933042784,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,3d,35649,0.10634674430756601,0.3480886998873961,0.022559358395573624,0.020433319869858184,0.8115557222933159,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,6h,178491,0.0935596461681687,0.3080373254908037,0.01918758166227147,0.02152724795852977,0.8293008921066481,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,7d,14899,0.1052546437707455,0.3367874473511924,0.01748342450729744,-0.013182394395820597,0.8938890255063779,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,pooled_equal_contract,horizon,close,322768,0.04119394449407394,0.1578632408315633,0.011386485905790965,0.0054498137030962335,1.050522948991809,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,14d,9830,0.10461378172053258,0.33086674429682755,0.018242894360294134,0.007278561746395843,0.9081599510721196,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,15m,318960,0.06609494620219018,0.2239671040877017,0.004853737704795153,-0.021012605971126013,0.9684437181177998,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,1d,89927,0.11202163456710906,0.3549496847332814,0.021635073662243483,-0.03379087842667086,0.834235454038022,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,1h,213343,0.0650706253611056,0.2223207812535827,0.009340295465684307,-0.06271242581183857,0.9083761033158341,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,30d,6849,0.11091682838042481,0.3540339246811104,0.01867298614686634,0.015553064482412527,0.8833892617639791,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,3d,35649,0.10633315892581978,0.337537523945267,0.020647138979703675,0.0015895978091649925,0.8501566173105627,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,6h,178491,0.09334598054613992,0.2998190528655167,0.0174457756420778,0.007664650096351144,0.8690424262292196,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,7d,14899,0.1050849088419646,0.3303974935033941,0.015803455543746334,-0.050122644401748954,0.9064837708771301,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,platt,pooled_equal_contract,horizon,close,322768,0.041116012655991546,0.15068120833377174,0.0094953330181096,-0.09768118425315818,1.0418306342619856,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,14d,9830,0.10441749745676478,0.33092047757850007,0.014937945066124102,-0.042937674695200156,1.0868553284694324,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,15m,318960,0.06682895974410508,0.22760195096585045,0.022783922748934045,-0.09443173350488855,1.1707732101415813,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,1d,89927,0.11155052431415852,0.3513786909057893,0.011008039854548695,-0.0936323112628786,1.005518144733359,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,1h,213343,0.06549275626568242,0.22360485348434417,0.0181062889337827,-0.13458004428302717,1.100856343787339,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,30d,6849,0.11055768725361413,0.352142870951505,0.01077237552927433,-0.02895976650440152,1.0585423638667262,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,3d,35649,0.10588847092485894,0.3343716053138708,0.009997194872226434,-0.06379276038021345,1.0223445822615667,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,6h,178491,0.09297673608188027,0.29769256565849855,0.00991949173907929,-0.059931900385965575,1.0504437596218645,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,7d,14899,0.10505015772870493,0.33111739188300604,0.016932008859655016,-0.10998717793029426,1.0867672465148104,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,raw,pooled_equal_contract,horizon,close,322768,0.04238886909478604,0.15774086029780604,0.029256400882367552,-0.1784447466897913,1.260476766747958,converged,,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,14d,9830,0.1126110787059527,0.3551826262683675,0.0544633849279273,0.07338858404735135,0.9278903690179351,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,15m,318960,0.0580420922058388,0.19625816804254856,0.013777302934606321,-0.06426120298413177,1.070167151391434,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,1d,89927,0.11019629175518476,0.34846658883946735,0.023537654241832198,-0.05472891014837493,0.8801773233947309,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,1h,213343,0.05509397699202733,0.18651746620941,0.014261789505234025,-0.04712319145811001,1.055221605228034,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,30d,6849,0.12750246019479375,0.4025454858862025,0.07142925050195495,0.01562282437234019,0.9129017330578326,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,3d,35649,0.0890753189116858,0.292072471387717,0.029739071877318324,0.09399817493993924,0.926706361352645,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,6h,178491,0.08798151116856147,0.28357397255239825,0.020070689894929546,-0.011000489283256067,0.9044307860521279,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,7d,14899,0.09907797675161531,0.316777091524374,0.04661049759941407,0.04896601649195265,0.9531113165024869,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,horizon,close,322768,0.03518136852138437,0.13005701161466315,0.018281266994042946,-0.20657594383458353,1.1669051466902571,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,beta,fold_macro,overall,overall,1190716,0.06450170774416121,0.21569871312096064,0.009987664380219726,-0.03772935487938648,1.0120025335981502,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,14d,9830,0.11354395600181631,0.36365316189257885,0.05950736376089836,0.07116460274446153,0.8855121164878397,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,15m,318960,0.05830969615340018,0.20053641569064282,0.013572561256297732,-0.06457020077090524,1.067817576938409,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,1d,89927,0.11095827009434504,0.3552327988882854,0.025592146545196107,-0.06021478483323359,0.8482911794468758,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,1h,213343,0.05542759287036758,0.19126377843170078,0.014812757454392417,-0.04589087957035138,1.0642000298768162,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,30d,6849,0.12765785900787915,0.4026292423046089,0.07031645534103843,0.020458929526267128,0.8846941718587568,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,3d,35649,0.08962771756627724,0.299546890482374,0.032066221077846464,0.08699501301886868,0.8987537876471847,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,6h,178491,0.08858411429589952,0.29090084001220584,0.020514957598662398,-0.015468881778916222,0.9001732864295718,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,7d,14899,0.09973639229753645,0.32308740365339833,0.04703550254692077,0.04103297740678288,0.9227063712614406,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,horizon,close,322768,0.03525538855678739,0.13257073256454838,0.019347106691813807,-0.20919707041447336,1.1857433075417398,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,binned_reliability,fold_macro,overall,overall,1190716,0.06485253338064595,0.22048862450696075,0.01004817810046059,-0.03562502443637646,1.0089551579853586,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,14d,9830,0.11824767452173698,0.3739633415560801,0.07062578394227016,-0.4102509584333534,0.9116581826125053,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,15m,318960,0.0688563421475633,0.2301681599677832,0.06533726696502079,-1.0426008508783016,1.0625137534829514,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,1d,89927,0.12234629454298598,0.37994522862758034,0.07885804143732107,-0.7023276139639388,0.895211177503354,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,1h,213343,0.06717047674796324,0.2247012705210641,0.06837614658122947,-1.122484351742928,1.0479614086169438,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,30d,6849,0.13290022002115492,0.4187762970864695,0.08307620682755955,-0.33098375757553233,0.8861007480983064,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,3d,35649,0.09880590076499979,0.31856135715034567,0.0670643357271145,-0.6487767555374878,0.9494813152068512,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,6h,178491,0.10079864616807455,0.321190997692797,0.07732802877285765,-0.8747175786258271,0.8997869288246808,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,7d,14899,0.10444066663652402,0.33365994755203865,0.06915211465594712,-0.467461786762631,0.9488435209789075,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,horizon,close,322768,0.04445781323704792,0.16126666842599427,0.054759473922303,-1.2597187005544621,1.1531003860735691,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,hierarchical_eb,fold_macro,overall,overall,1190716,0.07509478377068496,0.24826936943505207,0.06439177958609112,-0.9181784599703176,1.001799600840494,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,14d,9830,0.11294576945653567,0.3579365868317938,0.05638344757001179,0.10795760639946944,0.921728112710314,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,15m,318960,0.05810045686121602,0.20128996741984456,0.014086035562189398,9.645051222076653e-05,1.0616390225077479,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,1d,89927,0.1103898479858143,0.3546298875464215,0.024684744811119062,-0.03308510693964758,0.859256735646538,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,1h,213343,0.05518031502712704,0.19131592211986284,0.015113522752483434,0.01864261259585432,1.0469092818523562,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,30d,6849,0.12742306213868806,0.4029326968997088,0.07200118762208071,0.0421363250088679,0.9124582464303579,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,3d,35649,0.08913692388171178,0.2995487747025009,0.032557471305463305,0.13099246598562583,0.9078973307336945,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,6h,178491,0.08823359499301554,0.2904471350315257,0.0222408164122778,0.03083873466472484,0.8780003233401121,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,7d,14899,0.09927834765895494,0.3248267425867249,0.04553047750969261,0.08940679934104848,0.9319901812487646,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,close,322768,0.03518013306456589,0.13629229493655481,0.01936059212517193,-0.10944976975643597,1.1687494008319705,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,overall,overall,1190716,0.06459809140384964,0.2214307952894788,0.011237036041135086,0.020357256724532827,1.0024883585228492,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,14d,9830,0.11274648257564333,0.35587550564763243,0.054281985532267776,0.07497893701245524,0.9228493603526264,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,15m,318960,0.05798102425755668,0.19620265352579197,0.013154650330334154,-0.06788620978241186,1.0646305105570304,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,1d,89927,0.110212438018763,0.3485768896189224,0.02404980587177978,-0.042720000726559196,0.8845782152189887,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,1h,213343,0.05505625982355573,0.1865887628308658,0.014106281364587329,-0.04943881038614925,1.051955220946897,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,30d,6849,0.12759033301862052,0.4033899855270679,0.07322653661546255,0.018826483694959376,0.9075637357261925,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,3d,35649,0.08910185215154252,0.2918568562608938,0.029983850822769113,0.093917716510571,0.9295115585377512,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,6h,178491,0.08799189946660123,0.28380487349156924,0.019818887903094648,-0.011882538432098378,0.9049216270122631,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,7d,14899,0.09913423753382612,0.3167332428003987,0.047288296569095986,0.04921233353420696,0.9493244475487949,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,horizon,close,322768,0.035089867984840435,0.13007465558340528,0.01792426147396639,-0.21835500406410757,1.1557693157986568,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,platt,fold_macro,overall,overall,1190716,0.06446357277541682,0.21574480647914884,0.009614601487315947,-0.04053203067536503,1.0087850184233784,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,14d,9830,0.11225558475488756,0.35382120443937165,0.05962414726616394,0.048180999863275405,1.1011616405452116,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,15m,318960,0.05892053150147774,0.20218177247999475,0.0278824089646966,-0.09709049808693862,1.2701557528517489,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,1d,89927,0.11002583391414684,0.3474692056670473,0.022326409191135963,-0.06785353775092212,1.0553320559117907,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,1h,213343,0.055841239868975906,0.19175380902416597,0.025833182443525338,-0.0785179828721958,1.254650036645839,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,30d,6849,0.12651535297583,0.3975367371634272,0.06980011618140665,-0.016356004269210418,1.0457023412147288,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,3d,35649,0.08899404991193317,0.2909494742304483,0.028935597201594918,0.06854856437838713,1.1087458833806734,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,6h,178491,0.08783279002215207,0.28292721719655,0.019519687064629657,-0.03865573490342145,1.0797434732876665,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,7d,14899,0.09911674079692992,0.31730241415767185,0.05066541542399165,0.023148011570101133,1.1325334132185803,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,horizon,close,322768,0.03644245596630214,0.13851401957368334,0.03227052505524794,-0.2530641791082843,1.379069429660952,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,raw,fold_macro,overall,overall,1190716,0.06514020089653247,0.21998160955384763,0.022841222502639893,-0.07002563579575637,1.2036205090727157,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
short_window_vwap_primary,,beta,pooled_equal_contract,overall,overall,1190716,0.06984150251724651,0.23392277589942737,0.007139403777391633,-0.018329956889249665,0.9416413188792747,converged,,completed,robustness_non_confirmatory,True
short_window_vwap_primary,,binned_reliability,pooled_equal_contract,overall,overall,1190716,0.07027896192367734,0.23993634140456216,0.0076186887670120895,-0.008122760543750782,0.9312505912964363,converged,,completed,robustness_non_confirmatory,True
