snapshot_method,model_name,horizon_name,row_count,brier_score,log_loss,expected_calibration_error,calibration_intercept,calibration_slope,calibration_status,empty_bin_count,sparse_bin_count,analysis_label,non_confirmatory,aggregation_mode,status
last_trade,beta,14d,9830,0.10423716993955591,0.3295403056717208,0.009415622426772935,-0.0029533301943095733,1.0189200095210735,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,15m,116397,0.10214187570023293,0.32573216921183457,0.008026099395178805,0.004468010764179936,1.0536551606009252,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,1d,71281,0.12133750773415478,0.37792394028683574,0.007392048614669313,-0.06676649129127048,0.9335993233144351,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,1h,61338,0.09580945525684662,0.3052018857559412,0.004429379064285853,-0.026876003763853074,0.9894737964386726,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,30d,6849,0.11050894935765172,0.351414070461279,0.006349269323474586,0.007759188834212547,0.9927773642532267,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,3d,33027,0.10941473326055222,0.3441401922369438,0.00928381741517301,-0.015226475041673779,0.9464628448830427,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,6h,112596,0.11040605995762007,0.34206971583445767,0.006058350130171265,-0.013199072483605126,0.9773471173150649,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,7d,14899,0.10477878381825295,0.32947654342239824,0.009383154634107464,-0.06349273300738488,1.016516994399485,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,beta,close,66395,0.05438539249556292,0.18865856866403707,0.01139258612891913,-0.11241448368365897,1.0847054294890728,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,14d,9830,0.10486130059039299,0.33512233681303677,0.009348853357367586,-0.011911860809351547,0.9962021694952339,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,15m,116397,0.10269329643799346,0.3310342844586721,0.007090609214646912,0.008208008381119947,1.0301592108848017,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,1d,71281,0.12210003874117384,0.3829823247946379,0.009323004135398596,-0.066847267867798,0.9149632019608309,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,1h,61338,0.09641607508991948,0.31265292005129863,0.00356388304730146,-0.010802379712525359,1.0060886477969075,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,30d,6849,0.11069761319256675,0.351937129240279,0.008682916255475431,0.004915076522297852,0.9879754272199719,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,3d,33027,0.11003756036090354,0.3495590412689168,0.009734266869180188,-0.017506384683626388,0.9458716226682932,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,6h,112596,0.11102323993588137,0.3484945152728621,0.007041403815419023,-0.007675596929815287,0.9825759976741504,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,7d,14899,0.10554809048669794,0.33437413208556493,0.010215821687661985,-0.07336917763261551,1.0033265536150402,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,binned_reliability,close,66395,0.05470114934548896,0.19546981822017132,0.016407879671633003,-0.10264774051866973,1.1432871734625052,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,14d,9830,0.10919289104423088,0.34482457640527986,0.051037333155223144,-0.477443077144323,1.0121062288780143,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,15m,116397,0.10428965192134561,0.3315779683137089,0.02956579239988125,-0.2751139689266047,1.0434405343775666,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,1d,71281,0.12623700555466863,0.3911347693655194,0.04662691239996137,-0.403405308368707,0.9226026432151873,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,1h,61338,0.09879581656133112,0.3140397083660883,0.034423381218416135,-0.35586044673422024,0.9760672600542482,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,30d,6849,0.11363961935748995,0.3606430713279862,0.0374899404678957,-0.3333515511575954,0.9876873602097174,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,3d,33027,0.11720210394626536,0.364885132665964,0.06466851152346807,-0.5803796463298896,0.9451673722196399,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,6h,112596,0.11582610773678996,0.35777320352161723,0.05327543845395989,-0.48122135081390416,0.9551801219101619,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,7d,14899,0.11090296603994076,0.3476606867813844,0.05999699156585997,-0.5600992385613452,1.0124184110656842,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,hierarchical_eb,close,66395,0.055339686107223895,0.19179275727174777,0.01745671904699155,-0.3105649846426392,1.0780856668870407,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,14d,9830,0.10439466879918344,0.3331628455248275,0.012429821915680213,0.032000406946567805,1.0050455241705256,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,15m,116397,0.10225717152949754,0.3304867785727697,0.008351550973344668,0.04803603268523147,1.051057391725308,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,1d,71281,0.12147555996719923,0.38491778699490614,0.009334851725545433,-0.06539946479240515,0.8884502264395723,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,1h,61338,0.09588245079281837,0.31056789812233865,0.005898618041901125,0.03253486828018242,0.9900262070657939,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,30d,6849,0.11059950054099127,0.35381973728063554,0.008958462592659635,0.03809089902749023,0.9821452155989263,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,3d,33027,0.10943778649070382,0.35481769654746687,0.012568505387019755,-0.0027134955969009295,0.8927644427666929,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,6h,112596,0.11068339882095227,0.3473031667925071,0.010052254037916234,0.00859439786961381,0.9410078386299314,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,7d,14899,0.10487854408823764,0.3360489299998383,0.009315849403543732,-0.028099577752135476,0.9902495758794685,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,isotonic,close,66395,0.05446118965086842,0.19722335018302345,0.014253759743206333,-0.0023118440374637304,1.099749662213311,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,14d,9830,0.1042482529829665,0.3296636672157594,0.010202603511930086,-0.003975925720183805,1.0174578653641875,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,15m,116397,0.10211286870183073,0.32560297387647125,0.007688733351776318,0.005738997690780953,1.051153065559564,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,1d,71281,0.12133191465364611,0.3779596114640287,0.007008007277886755,-0.06114199884199819,0.9378419843103981,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,1h,61338,0.09580353457934557,0.30524954768532064,0.00462773768670388,-0.028695371555458683,0.9868909388322721,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,30d,6849,0.11050293056671155,0.3516966769692348,0.007357007849310997,0.0066098808403560055,0.9910063277981368,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,3d,33027,0.1094091928182854,0.34405118670886314,0.008693912998829439,-0.01367085823185331,0.9495854784515166,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,6h,112596,0.11040455245069435,0.34214495371024684,0.005938511542024072,-0.01002255252216062,0.9799331990388694,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,7d,14899,0.10477073391827288,0.32950423770939313,0.009538047695523627,-0.06413856033001865,1.015212319943793,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,platt,close,66395,0.05435112082479121,0.18859853272027843,0.010434369654926277,-0.12091566681274724,1.0779372106248826,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,14d,9830,0.10441749745676478,0.33092047757850007,0.014937945066124102,-0.042937674695200156,1.0868553284694324,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,15m,116397,0.10243894516175177,0.32727523890012516,0.01773078343943573,-0.047615251101415706,1.1264603871181342,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,1d,71281,0.12143095355003905,0.3781960567921747,0.013582020454258504,-0.10573503441909994,1.007347803841325,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,1h,61338,0.09593751181978104,0.30579742717130576,0.011144315106459307,-0.0741523169295318,1.0610244815449037,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,30d,6849,0.11055768725361413,0.352142870951505,0.01077237552927433,-0.02895976650440152,1.0585423638667262,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,3d,33027,0.10945325037091727,0.34402407885507974,0.010007266781724053,-0.06299059118400832,1.0192464915218398,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,6h,112596,0.11043131727590107,0.3427403651839408,0.010119542434900004,-0.06021246489078774,1.0535049596468087,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,7d,14899,0.10505015772870493,0.33111739188300604,0.016932008859655016,-0.10998717793029426,1.0867672465148104,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
last_trade,raw,close,66395,0.054743965660107495,0.19068760574463395,0.017971534001054293,-0.17339455011804672,1.15390782448354,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
